crawl_timestamp,uniq_id,page_url,product_name,list_price,selling_price,discount_percentage,color,size,description,sku
"Aug 22, 2026 @ 20:34:30.900",d1eb5c4a1d5a910d6642b458dce4c944,https://doodlage.in/products/dl26-dr-056-midsummer-sand-beige-dress,MIDSUMMER SAND BEIGE  DRESS,,,,,,,SKU: DL26-DR-056-XS-S
"Aug 22, 2026 @ 20:34:30.969",faf99e5843762abcde7e44e3f38b3119,https://doodlage.in/products/dl26-dr-046-midsummer-flora-printed-dress,MIDSUMMER FLORA PRINTED DRESS,,,,,,,SKU: DL26-DR-046-XS-S
"Aug 22, 2026 @ 20:34:31.454",0717a70236015cf3ea79ffac9ba53ab2,https://doodlage.in/products/dl25-tp-015-mistelle-printed-top,MISTELLE PRINTED TOP,,,,,,,SKU: DL25-TP-015-XS - L
"Aug 22, 2026 @ 20:34:31.589",2d6963a9862e2056b4d19f32a4e62d5d,https://doodlage.in/products/mojo-jacket,Mojo Jacket,,,,,,,SKU: DL-19-JKT-181(A)-XS
"Aug 22, 2026 @ 20:34:31.578",512acba36db1e12b3aa3e1745df00ac4,https://doodlage.in/products/moore-stripe-dress,Moore Stripe Dress,,,,,,,SKU: DL20-DR-021A-XS
"Aug 22, 2026 @ 20:34:31.616",44bd1d367dd5722a71c6d83bb0072dfa,https://doodlage.in/products/dlji23-dr-018-pastel-pink,Naomi Pink Tunic,,,,,,,SKU: DLJI23-DR-018-XL
"Aug 22, 2026 @ 20:34:32.182",ae0faa401b0e747398acca32727f82f4,https://doodlage.in/products/dl24-tn-002-naomi-printed-tunic,Naomi printed tunic,,,,,,,SKU: DL24-TN-002-S
"Aug 22, 2026 @ 20:34:32.206",75a063b0b089e71163c6cffae4b822b2,https://doodlage.in/products/dl26-dr-057-natalie-black-dress,NATALIE BLACK DRESS,,,,,,,SKU: DL26-DR-057-XS
"Aug 22, 2026 @ 20:34:32.224",b9a2555eadd9354fc406a5d55bb8246d,https://doodlage.in/products/dl26-sh-016-noren-blue-embroidered-shirt,NOREN BLUE EMBROIDERED SHIRT,,,,,,,SKU: DL26-SH-016-XS
"Aug 22, 2026 @ 20:34:32.277",cbc1445224a5ed98458ae7f013e0fbe2,https://doodlage.in/products/dl26-dr-049-natalie-beige-dress,NATALIE BEIGE DRESS,,,,,,,SKU: DL26-DR-049-XS
"Aug 22, 2026 @ 20:34:32.845",5f15954cb2b2bad2fa95aec288960656,https://doodlage.in/products/dl26-jk-006-remi-denim-patchwork-jacket,REMI DENIM PATCHWORK JACKET,,,,,,,SKU: DL26-JK-006-XS
"Aug 22, 2026 @ 20:34:32.891",075351e796b02f066164552a7d73909d,https://doodlage.in/products/dl26-sh-013-renelle-beige-shirt,RENELLE BEIGE SHIRT,,,,,,,SKU: DL26-SH-013-XS
