crawl_timestamp,uniq_id,page_url,product_name,brand,sku,selling_price,list_price,rating,image_url
"Apr 19, 2026 @ 13:49:16.847",a9fe9909e1cbea2d8228502cfc6ce242,https://www.shoppersstop.com/neem-wood-art-platter-17x7/p/A25BTE18001495,Neem Wood Art Platter 17X7,Back To Earth,A25BTE18001495,995,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A25BTE18001495/A25BTE18001495_BROWN/A25BTE18001495_BROWN.jpg
"Apr 19, 2026 @ 13:49:16.854",2f49dc2cc1d58a6f0f62c881d863cd3f,https://www.shoppersstop.com/global-indian-oasis-platter-30-cm/p/S24DIN160321,Global Indian Oasis Platter 30 cm,HomeStop,S24DIN160321,997,1995,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S24DIN160321/S24DIN160321_TEAL/S24DIN160321_TEAL.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.862",fc9333097ec42278197fd1c44d7bd170,https://www.shoppersstop.com/flavius-cereal-bowl/p/S23KIT410899,Flavius Cereal Bowl,HomeStop,S23KIT410899,209,699,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S23KIT410899/S23KIT410899_WHITE/S23KIT410899_WHITE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.942",40d4b341aa48b10cf13f7391c65fd138,https://www.shoppersstop.com/1-pc-177ml-remkin-bowl-katori-morning-blue/p/A22406MBLP,1 Pc 177ml Remkin Bowl / Katori Morning Blue,Corelle,A22406MBLP,399,499,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A22406MBLP/A22406MBLP_WHITE/A22406MBLP_WHITE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.954",8c41d323ec4bfa7a9a259bdf5e41482c,https://www.shoppersstop.com/areca-leaves-drop-platter-set-of-4/p/S24DIN169912,Areca Leaves Drop Platter Set Of 4,Back To Earth,S24DIN169912,88,295,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S24DIN169912/S24DIN169912_BROWN/S24DIN169912_BROWN.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.960",12e36f811a6be0f0c98ed9d4e66fc9d4,https://www.shoppersstop.com/611-oval-lilac-blush-serving-platter-31-cm/p/A231120875,611 Oval Lilac Blush Serving Platter 31 cm,Corelle,A231120875,980,1225,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A231120875/A231120875_WHITE/A231120875_WHITE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.949",df0e3c54dd1e3440a3d2f34d765e90b7,https://www.shoppersstop.com/alivia-wide-mouth-veg-bowl/p/S23DIN180559,Alivia Wide Mouth Veg Bowl,HomeStop,S23DIN180559,149,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S23DIN180559/S23DIN180559_BEIGE/S23DIN180559_BEIGE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:17.039",ae74b1cf490892f75491f815ba5b681d,https://www.shoppersstop.com/neem-wood-art-platter-22x10/p/A25BTE18001496,Neem Wood Art Platter 22X10,Back To Earth,A25BTE18001496,1295,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A25BTE18001496/A25BTE18001496_BROWN/A25BTE18001496_BROWN.jpg
"Apr 19, 2026 @ 13:49:17.044",6d33fc38f0e97811baa2a3332a7698f6,https://www.shoppersstop.com/modern-solid-matte-grey-soup-bowl-11cm/p/A24DIN160053,Modern Solid Matte Grey Soup Bowl 11Cm,HomeStop,A24DIN160053,72,145,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A24DIN160053/A24DIN160053_GREY/A24DIN160053_GREY.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:17.049",9aa33ebb554565d5074cf9e20e9a6e7c,https://www.shoppersstop.com/grace-glitz-pudding-set-of-7-17cmx8cm/p/A24DIN160112,Grace Glitz Pudding Set Of 7 17Cmx8Cm,HomeStop,A24DIN160112,995,1995,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A24DIN160112/A24DIN160112_CLEAR/A24DIN160112_CLEAR.jpg_2000Wx3000H
