crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,sku,color
"Apr 20, 2026 @ 22:12:30.013",42ac58deda26e4363ee0b8e0f3c53da3,https://www.myntra.com/jeans/here%26now/herenow-men-pure-cotton-baggy-fit-jeans/26388598/buy,HERE&NOW Men Pure Cotton Baggy Fit Jeans,HERE&NOW,927,2899,68,4.3,602,26388598,Off White
"Apr 20, 2026 @ 22:12:30.046",dd0b234dd8ef61fa8a907604e182e4e4,https://www.myntra.com/jeans/szn/szn-men-classic-mid-rise-stretchable-jeans/34316824/buy,SZN Men Classic Mid-Rise Stretchable Jeans,SZN,650,1299,50,3.4,1752,34316824,Beige
"Apr 20, 2026 @ 22:12:30.078",e11441a61e7e09e7a2aa6d4bdd2c7b59,https://www.myntra.com/jeans/9x+denims/9x-denims-men-mid-rise-jeans/41050429/buy,9X DENIMS Men Mid-Rise Jeans,9X DENIMS,697,2199,68,3.8,39,41050429,Black
"Apr 20, 2026 @ 22:12:30.105",80816322c4d70ed3d9f57e4e96c663f1,https://www.myntra.com/jeans/mast+%26+harbour/mast--harbour-men-light-fade-regular-fit-pocket-detail-jeans/26697326/buy,Mast & Harbour Men Light Fade Regular Fit Pocket Detail Jeans,Mast & Harbour,782,2899,73,4.1,2086,26697326,Navy Blue
"Apr 20, 2026 @ 22:12:30.142",25ced73ced02fa13d5d0e2bf5e3acea8,https://www.myntra.com/jeans/stylecast+x+revolte/stylecast-x-revolte-men-wide-leg-jeans/30904980/buy,StyleCast x Revolte Men Wide Leg Jeans,StyleCast x Revolte,1574,3749,58,4.2,865,30904980,Black
"Apr 20, 2026 @ 22:12:30.179",00b8d92dfbac1a0398c56be209505692,https://www.myntra.com/jeans/bene+kleed/bene-kleed-men-ecru-straight-fit-washed-jeans/24459978/buy,Bene Kleed Men Ecru Straight Fit Washed Jeans,Bene Kleed,999,2499,60,4.0,8308,24459978,Beige
"Apr 20, 2026 @ 22:12:30.220",80c91d82a67e3b74405d035e7a0719a9,https://www.myntra.com/jeans/stylecast+x+revolte/stylecast-x-revolte-men-wide-leg-mid-rise-light-fade-printed-jeans/38450747/buy,StyleCast x Revolte Men Wide Leg Mid-Rise Light Fade Printed Jeans,StyleCast x Revolte,1557,4099,62,4.4,124,38450747,Grey
"Apr 20, 2026 @ 22:12:30.254",fe2991497b9f7fb9a7f01d2b5cc107a4,https://www.myntra.com/jeans/highlander/highlander-men-straight-fit-heavy-fade-stretchable-jeans/30715726/buy,HIGHLANDER Men Straight Fit Heavy Fade Stretchable Jeans,HIGHLANDER,779,2999,74,4.2,3134,30715726,Blue
"Apr 20, 2026 @ 22:12:30.293",458e355cb822140dfd7e59fcb727d12c,https://www.myntra.com/jeans/szn/szn-men-classic-regular-fit-mid-rise-stretchable-jeans/34316810/buy,SZN Men Classic Regular Fit Mid-Rise Stretchable Jeans,SZN,639,1299,51,3.3,1759,34316810,Beige
"Apr 20, 2026 @ 22:12:30.325",36401e5ad3373b9916e1bee896844846,https://www.myntra.com/jeans/here%26now/herenow-men-straight-fit-mid-rise-jeans/31986611/buy,HERE&NOW Men Straight Fit Mid-Rise Jeans,HERE&NOW,735,1599,54,4.0,465,31986611,White
"Apr 20, 2026 @ 22:12:31.121",f038f45c5f1cab4664a50a96aeb07512,https://www.myntra.com/tshirts/roadster/roadster-men-maroon-solid-polo-collar-t-shirt/3009070/buy,Roadster Men Maroon Solid Polo Collar T-shirt,Roadster,499,999,50,4.2,21186,3009070,Maroon
"Apr 20, 2026 @ 22:12:31.157",41adc0a010650d536c83c59e39d0b751,https://www.myntra.com/jeans/woomny/woomny-men-regular-fit-mid-rise-jeans/41169111/buy,WOOMNY Men Regular Fit Mid-Rise Jeans,WOOMNY,1114,2499,55,,,41169111,Black
"Apr 20, 2026 @ 22:12:31.620",24f47881ecda61040af1c14f04f3b621,https://www.myntra.com/tshirts/puma/puma-boys-essentials-classic-collar-tipping-polo-t-shirt/36653165/buy,Puma Boys Essentials Classic Collar Tipping Polo T-shirt,Puma,844,1299,35,4.7,197,36653165,Navy Blue
"Apr 20, 2026 @ 22:12:31.725",a9adc4658f66f8448b477629014fc518,https://www.myntra.com/tshirts/oakwyn/oakwyn-men-polo-collar-moisture-wicking-t-shirt/40846727/buy,OAKWYN Men Polo Collar Moisture Wicking T-shirt,OAKWYN,444,1499,70,,,40846727,White
"Apr 20, 2026 @ 22:12:32.146",99fb482aca6ca901bfe2a81ba45baf7a,https://www.myntra.com/jeans/szn/szn-men-classic-mid-rise-stretchable-jeans/34316806/buy,SZN Men Classic Mid-Rise Stretchable Jeans,SZN,650,1299,50,3.3,1411,34316806,Beige
